Query Number, LDF Time (ms), ZZ Time (ms), Sound & Complete, ZZ Server Calls
10174,96633,236784,true,0
10175,49790,45442,true,0
10176,260,70,true,0
10177,948,758,true,0
10179,236,129,true,0
1017,2032,1989,true,0
10180,17256,17508,true,0
10181,341,83,true,0
10182,20368,22482,true,0
10183,3162,2915,true,0
10184,348,77,true,0
10185,383,70,true,0
10186,862,175,true,1
10187,33286,33998,true,0
10188,22648,23726,true,0
1018,63390,63742,true,0
10190,1317,771,true,0
10191,220122,219243,true,0
10192,200,126,true,0
10193,142,71,true,0
10195,21501,23628,true,0
10196,15517,20184,true,0
10199,327,184,true,0
1019,46576,98059,true,0
101,4357,4282,true,0
10200,2085,2026,true,0
10201,190,131,true,1
10203,3763,3674,true,0
10205,3886,3736,true,0
10207,22149,27700,true,0
10209,9678,10813,true,0
1020,24780,46274,true,101
10210,200,183,true,0
10211,112567,112310,true,0
10212,36146,61287,true,0
10213,52601,70395,true,0
10214,141,75,true,0
10216,63565,109762,true,0
10218,33961,41000,true,0
10219,220114,220650,true,0
1021,3717,4239,true,0
10220,19286,27845,true,0
10221,59339,101475,true,0
10222,1750,1659,true,0
10225,217846,27026,true,75
10226,6142,7196,true,0
10227,142,1132624,false,848
10229,3140,3584,true,0
1022,4620,5157,true,0
10230,221041,231589,true,0
10231,158,76,true,0
10232,223,128,true,0
10234,24962,26262,true,0
10235,24111,43525,true,95
10236,1134,613,true,0
10237,177786,177587,true,0
10238,49697,49806,true,0
1023,39130,39060,true,0
10240,96312,96202,true,0
10241,182163,182319,true,0
10242,1120,76,true,0
10243,22052,23264,true,0
10248,28798,28557,true,0
10253,63038,62799,true,0
10254,20696,20625,true,0
10255,203,69,true,0
10256,2319,5509,true,0
10257,56635,55553,true,0
10258,155,68,true,0
10259,16400,22589,true,0
1025,268,82,true,0
10261,198,132,true,1
10263,62116,62512,true,0
10266,117222,128152,true,0
10268,47995,43269,true,0
1026,1224,703,true,0
10271,139563,121057,true,0
10273,28947,28754,true,0
10274,323,69,true,0
10277,49783,45662,true,0
10279,263,178,true,0
1027,17270,19393,true,0
10280,3237,3109,true,0
10281,199,126,true,0
10282,150,72,true,0
10283,201,126,true,0
10284,55847,55228,true,0
10285,16817,16663,true,0
10286,428,71,true,0
10287,22734,30347,true,0
10288,176310,174619,true,0
1028,195,122,true,0
10291,59324,101425,true,0
10292,102004,100656,true,0
10293,55440,75501,true,0
10295,3895,4189,true,0
10297,74817,74769,true,0
10299,20428,20370,true,0
102,69152,67995,true,0
10301,47820,47152,true,0
10302,22704,23314,true,0
10303,193,136,true,1
10304,132345,132151,true,0
10307,5913,9336,true,0
10308,92676,122451,true,0
10309,190,136,true,1
1030,10473,11236,true,0
10310,16141,21099,true,0
10311,213,125,true,0
10313,265,77,true,0
10314,3863,4154,true,0
10315,19937,19956,true,0
10316,12935,1243,true,9
10317,37326,80467,true,155
10318,68201,108365,true,0
10319,3101,2946,true,0
1031,30106,69705,true,0
10320,139,66,true,0
10322,32855,48316,true,0
10323,31037,78098,true,0
10324,46955,44161,true,0
10326,461,89,true,0
10327,75872,101606,true,0
1032,60227,67642,true,0
10330,38589,48646,true,0
10331,37310,38272,true,0
10332,31652,37956,true,0
10335,21953,29041,true,0
10337,147,64,true,0
10338,138,104,true,0
10339,1753,1328,true,0
1033,2609,6348,true,0
10340,28606,33623,true,0
10341,5756,9478,true,0
10343,21175,21524,true,0
10344,5143,560,true,4
10345,180391,189890,true,0
10346,1128,175,true,1
