Query Number, LDF Time (ms), ZZ Time (ms), Sound & Complete, ZZ Server Calls
10174,95380,240060,true,0
10175,49905,60600,true,40
10176,281,196,true,1
10177,945,138,true,1
10179,260,132,true,0
1017,2250,541,true,1
10180,18232,9843,true,6
10181,336,68,true,0
10182,20673,6014,true,3
10183,3784,468,true,1
10184,325,82,true,0
10185,406,76,true,0
10186,895,199,true,1
10187,34025,34251,true,0
10188,23268,2623,true,1
1018,64750,56874,true,1
10190,1356,219,true,1
10191,223709,51099,true,31
10192,202,119,true,0
10193,145,72,true,0
10195,22135,2612,true,1
10196,15579,15594,true,3
10199,322,149,true,1
1019,46825,43662,true,2
101,4387,4332,true,0
10200,2176,1910,true,0
10201,206,131,true,1
10203,3720,366,true,1
10205,3723,3568,true,2
10207,22543,27555,true,0
10209,9886,661,true,1
1020,24991,52612,true,101
10210,208,207,true,1
10211,113341,22203,true,10
10212,36220,61301,true,0
10213,52238,4789,true,2
10214,144,89,true,0
10216,63244,110429,true,0
10218,34329,27506,true,2
10219,222420,50612,true,31
1021,3739,4287,true,0
10220,19375,1218,true,1
10221,59163,102649,true,0
10222,1760,418,true,1
10225,222483,30389,true,75
10226,6146,4833,true,1
10227,136,1184990,false,848
10229,3167,3833,true,0
1022,4911,5200,true,0
10230,225995,234687,true,0
10231,152,67,true,0
10232,202,124,true,0
10234,25017,3933,true,2
10235,24146,47029,true,95
10236,1149,245,true,1
10237,178833,54480,true,21
10238,50202,10592,true,7
1023,39809,11879,true,1
10240,97946,2676,true,2
10241,185965,9504,true,7
10242,1082,349,true,1
10243,22932,2630,true,1
10248,29182,810,true,1
10253,63132,64216,true,0
10254,20964,1499,true,1
10255,203,69,true,0
10256,2408,5867,true,0
10257,56933,56934,true,0
10258,140,103,true,0
10259,16670,18248,true,4
1025,269,84,true,0
10261,246,155,true,1
10263,63905,63483,true,0
10266,118657,5582,true,2
10268,49467,58272,true,40
1026,1227,219,true,1
10271,140558,21086,true,6
10273,29664,813,true,1
10274,346,305,true,1
10277,50681,60441,true,41
10279,290,186,true,0
1027,17675,1677,true,1
10280,3424,716,true,1
10281,201,127,true,0
10282,148,77,true,0
10283,222,129,true,0
10284,56521,57039,true,0
10285,17366,17840,true,0
10286,439,313,true,1
10287,23135,24837,true,5
10288,176937,54101,true,21
1028,200,125,true,0
10291,59091,102196,true,0
10292,103021,101906,true,0
10293,56498,4697,true,2
10295,4102,4145,true,0
10297,74993,75141,true,0
10299,20875,1431,true,1
102,69574,5954,true,4
10301,48706,57253,true,39
10302,23541,27381,true,19
10303,226,139,true,1
10304,134592,29025,true,19
10307,5973,9589,true,1
10308,93389,124835,true,0
10309,193,138,true,1
1030,10672,812,true,1
10310,16407,3462,true,3
10311,213,127,true,0
10313,270,85,true,0
10314,3807,4206,true,0
10315,20145,19899,true,0
10316,12597,1443,true,9
10317,37038,89742,true,155
10318,68914,32667,true,5
10319,3092,745,true,1
1031,30078,54840,true,2
10320,138,66,true,0
10322,33047,57566,true,1
10323,31316,60468,true,2
10324,48030,56378,true,39
10326,460,293,true,1
10327,76934,103009,true,0
1032,60528,50792,true,4
10330,38946,8208,true,6
10331,37478,3272,true,1
10332,31697,22426,true,2
10335,21685,15003,true,2
10337,153,68,true,0
10338,141,108,true,0
10339,1727,663,true,1
1033,2573,6187,true,0
10340,28544,19658,true,3
10341,5962,369,true,1
10343,21577,21626,true,0
10344,5374,634,true,4
10345,183140,192912,true,0
10346,1153,202,true,1
